label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
P,0.631002004287954,0.5377420471681128,0.6205683130012281,0.23261230287989718,0.6634456200454814,0.32054457571046807,0.4626249169388408,0.3550451056313397,0.47131328909872194,0.7389560106836122,0.21632348162315052,0.3224588622949046,0.5212242344564467,0.633758306780345,0.529399045748645,0.566488687645591,0.6490863288638236,0.46895222855255203,0.5908527491469001,0.5334419507808296,0.43451146651992134,0.38854996850918533,0.5366349423531257,0.4103585504374183,0.5803820412969626,0.5998861404045095,0.38167337771050575,0.4055490054046196,0.5454659524878307,0.40961910836582144,0.27868162342519054,0.38653282998616895,0.6724737989932396,0.24431283576020185,0.6726586061312028,0.34862468818685355,0.5610307939744701,0.505625059075139,0.29975823488577663,0.2676609089818465,0.22634434435578724,0.497634383598041,0.6745158424897453,0.3502645910017429,0.27942163815273213,0.45336924003358287,0.7393394364183302,0.5919914341777182,0.40906575115609506,0.5304071088653416,0.5795761665624712,0.5171352672389922,0.5955041610802068,0.5416439000668616,0.3125090320535743,0.49334986386050456,0.2923021123467786,0.3324203840415958,0.39123808439092544,0.3762314303090191,0.3170428684862743,0.4491506309698258,0.7074184565285709
no,0.3109421446316462,0.43390839932487485,0.6061498728301492,0.49184343705976685,0.4229431649320325,0.591997453546455,0.35872030917294184,0.37626090432073767,0.46099093351279635,0.47420978846137535,0.6871182034051264,0.29874443157475644,0.491032585232606,0.3724965281370793,0.2904993423966365,0.5263768531934867,0.6433183269319922,0.5610213138976308,0.4390453104313697,0.4619195521381961,0.716986441383884,0.2513726346673989,0.5545540094235488,0.31584238986972146,0.7628027407477993,0.44990903570506563,0.5429424068007297,0.7137109827695384,0.5028919311183656,0.5821079000498564,0.28077809716958346,0.6966177447706706,0.30575275004910735,0.3236049348857479,0.5806738014970648,0.6148797626655093,0.3372872112379586,0.6145513419252857,0.6492285316388627,0.3720089988825196,0.41625351304222996,0.31957146996481206,0.5553041603864303,0.6080302733290576,0.3145502388513897,0.29171024091655,0.37599880110265316,0.49295692212025105,0.4831111420863755,0.7148456690522248,0.3276897535522432,0.3889759606447442,0.6665208841340231,0.46893041522233864,0.6548748043880511,0.3890185361498927,0.4484563653221295,0.6227386040905856,0.6302075834508648,0.7223184419388219,0.5739963027984236,0.303167174234846,0.49801274408523705
F,0.4614481525748257,0.25534451319426804,0.5432117516900324,0.4056482279332875,0.556135199972607,0.7575156911725782,0.552664770321465,0.3858305286299448,0.5788603323600217,0.3874278586939968,0.3082693368434,0.6992197594593238,0.7502690597357023,0.7463623570586797,0.5684846991637271,0.7606223629296833,0.4521180743407959,0.6751384472550217,0.7464468405168769,0.45020276417937566,0.5300228675334904,0.3362636659816495,0.4637421098762129,0.5683269968060326,0.6982275092581952,0.5469915589003712,0.3695630079355802,0.7243861723009304,0.5427709343553516,0.44292803827179544,0.7046372605386112,0.4422951835753483,0.2741214270233002,0.4235806014408119,0.5777753503247343,0.7138185615548108,0.48948201627841026,0.5661297939947084,0.6483510756656296,0.6675345510014786,0.48035859746642706,0.4095378577668602,0.27676402424143626,0.42294480673017,0.3509062562559745,0.4577282107936622,0.4970291000401634,0.49855536169242004,0.417564810765181,0.45340225227475767,0.4111898677508047,0.48451713367724003,0.7310195939752313,0.5200030807556416,0.5582350762477033,0.2871707053148157,0.46166469274666444,0.6548808585300854,0.7094023428319234,0.502865412705341,0.7419559830712477,0.661044386918571,0.7134537044614538
Q,0.5680079923243031,0.46847294062952816,0.7351722643812312,0.4220965119261698,0.4915609742232599,0.30548552072702245,0.5972632446406196,0.29494584859163087,0.5572477042627128,0.45991761595687536,0.469651225408813,0.2552650691389529,0.507035440872454,0.3038007818796864,0.3586845990457406,0.5447675648765591,0.5840657053207328,0.32172067323143044,0.5789134491546672,0.27452768074338346,0.3641300727457351,0.6432872199009859,0.5418949266732781,0.5201991016398249,0.5786461123812265,0.7273594931667983,0.3068269690212427,0.6188212411271499,0.6014216358469741,0.6032281764826417,0.6712355236624229,0.5838562469756363,0.4652841848454524,0.5592025053121747,0.5276952285028546,0.493980805718438,0.6098043831799188,0.6489439977292545,0.34482435872278605,0.5279536963972584,0.6939647815228123,0.7353356741148758,0.33600389291654054,0.4733358536123783,0.47473760697392736,0.4505714325865726,0.5782530112913854,0.6595011850907913,0.3181121042369729,0.6985004480783921,0.3360798767178822,0.5533259982903224,0.4446933513985274,0.5625118391166415,0.5566683048259645,0.5522518615161296,0.32111971545224666,0.6958949879784645,0.6193203769618173,0.4012969160838376,0.6999515287853844,0.7673325990981006,0.7272422826434795
S,0.4939845986415558,0.43133147385078885,0.3627676392959987,0.3480791611328551,0.4537488640284251,0.33053292267965906,0.4708780097155053,0.2906703748397147,0.2821416156833028,0.26359382343865545,0.48903288305670556,0.5537620207023838,0.359895860874052,0.430386651826003,0.37971920562139,0.5634157206360334,0.48988458066525314,0.4199232385798354,0.2973383371571066,0.3784787955284679,0.3406237578420609,0.5851131644509739,0.6491056624014601,0.3705972083982074,0.670586874292869,0.513270429436893,0.41402026310233747,0.6764729375728314,0.6714297818244299,0.5759367118656559,0.5300007861766727,0.540291643253962,0.5569216567808022,0.6963680669856704,0.4519089674591166,0.28464743198694886,0.6881190182365318,0.5153078453999641,0.36914763164470743,0.7012520301972966,0.5164725692064424,0.5533230688460848,0.6565514250347616,0.6327203202875141,0.6616205994190731,0.4189783850588009,0.25462224142076084,0.7373561074640795,0.5800209545864844,0.5882998827001841,0.29969210511915856,0.6163115624231619,0.7148511997108236,0.5867046405734965,0.29783242003370025,0.678210133734737,0.3808982378946105,0.6877136283631475,0.6365087308605067,0.42765659743915674,0.39051932748561397,0.2504958733949175,0.6425587518239384
S,0.5313581402474897,0.5058363952266937,0.38739017354221517,0.321333627948826,0.43114028790524417,0.33800652514824747,0.5038934122035584,0.24964175972016422,0.245098325676047,0.2266888754590187,0.5098907017854261,0.5604573962732265,0.39560274988246774,0.44398382205906817,0.38732848883289006,0.5382909133799467,0.45413370132751,0.40949252586321466,0.2632510579551157,0.31884574659495657,0.31633132795502844,0.595432971363476,0.638171717633328,0.3868492601354332,0.6499041299320697,0.48567499633335187,0.3923874231039128,0.6985472523195885,0.6860722138567519,0.5857470000885214,0.520210443101148,0.5062698285529209,0.5712976922761931,0.6702185846532935,0.4221151852716562,0.26880280984307053,0.6682410157954568,0.49215837862736656,0.3833944483294399,0.7259799565096176,0.5201739786515645,0.5231077266759818,0.5785456571875875,0.6754483424057184,0.6935347378735279,0.3765201317423897,0.24389502958232062,0.7439317573675484,0.5606882184443996,0.6375672736829693,0.2991285260794573,0.6336216565717835,0.726319104318266,0.60420580969194,0.3202357715474869,0.7267670923744106,0.3560953778114156,0.6421330342271162,0.632637982288862,0.41889515395454446,0.39685215874129687,0.2587865276895223,0.6695308915160361
B,0.7436980849439373,0.3914430902465497,0.3503103652399512,0.7400806673847913,0.5330539072464535,0.7202455663882438,0.44246063016753295,0.33273936861421805,0.6141701640858324,0.6827087980142508,0.6658148973800696,0.333529310329966,0.3222733385475635,0.6013428805534794,0.5286683869367479,0.6169341101224579,0.6040865706942598,0.7067760055973668,0.28641596875013886,0.45363873689901885,0.728545695386853,0.6249192567697225,0.40010577798135055,0.5550966432720391,0.6296749985647918,0.5291972483638244,0.47430323181412426,0.3767553138552291,0.4333512085350855,0.4904050630660276,0.4379924506970511,0.5570396395178404,0.5183169719455719,0.4114490454696176,0.3991483917498049,0.5547897804397834,0.44660769535361433,0.6767250112254997,0.30655145326936045,0.6135153899084612,0.3902303695273172,0.6255467379587375,0.5385474373481128,0.5797927894845317,0.3067474103431669,0.3328802041330065,0.5085209237817535,0.3814503981927302,0.7271456850287891,0.32198443900832036,0.3163547067937108,0.3497890105913033,0.4792643029588667,0.31903180167947504,0.4891529140578075,0.3238556770795091,0.6958954303510454,0.6383498143273422,0.5094991375885806,0.27945737020475003,0.4615700628280302,0.3488647101831465,0.6386239525915984
K,0.7691420542940803,0.5441231118704623,0.7082447158425997,0.296494678581882,0.6681042259666952,0.27523098299224025,0.6482673972175403,0.37330752127105193,0.604310675952282,0.3816417956172197,0.3252994376135659,0.3675016404327536,0.3082762990535527,0.5326372153533195,0.4244205287469682,0.6370014433593189,0.6207380571755796,0.6420357459661482,0.7335993691270487,0.32791058154234526,0.4949932593577444,0.5267670931366331,0.6245440249973492,0.4115409326507981,0.7180403716670007,0.3208550232973019,0.4120768403977083,0.43671540813697124,0.6975644110707038,0.6753860665535769,0.4838297262426584,0.38135791801713553,0.5255042626717763,0.39059137732759025,0.35145867068887465,0.6434926570479643,0.3859031265688332,0.30655781720526076,0.6501750987965819,0.5594020961855422,0.5640101221143198,0.5278486901939219,0.3669323000770934,0.41548220078399567,0.4590892148411494,0.5778203718642055,0.30866239774758836,0.7286690466485483,0.40056553994633426,0.6868906593888425,0.46027521606406685,0.43988809901426346,0.38872090277947113,0.5860109200449828,0.3712983870620808,0.44988914414538916,0.41809493972193223,0.48300441625294577,0.35877371519818113,0.5931782965912353,0.4136025746208723,0.629852489067532,0.560880558777231
L,0.5615908800010393,0.6517471127130492,0.3127440565062518,0.33303020434709646,0.26446498213010694,0.6351387167902421,0.48072617130072315,0.5207014586510481,0.4479203964640817,0.32983351518514575,0.3124276979481041,0.33890242485555166,0.6661721068283117,0.680127868889241,0.6996269478135362,0.5433664148559675,0.770959082943631,0.6543678974603278,0.3986425281635749,0.619151635904814,0.6448767597587227,0.538345861235976,0.44041071680760924,0.25640978829328726,0.7657321355424591,0.6668928241111122,0.7017964623342504,0.5105283702031151,0.6764778708663723,0.5495508448247357,0.4366884445666632,0.6670969150211761,0.2689894025756171,0.5704149796612538,0.5641642312335484,0.3563890137530056,0.3403210825244836,0.27330916757576945,0.3303009479265423,0.5573167982891507,0.5022069263257194,0.37548057678068447,0.30554071625247825,0.6974181591573988,0.36052966579887014,0.5145908149243644,0.47064487255535786,0.4746034250467991,0.7089169287421153,0.6109748936377626,0.39191430166149266,0.38546557642728774,0.29225289130307736,0.30157486354539076,0.43972881811226344,0.3442613158717049,0.6362530674985697,0.526322213708025,0.3982086246980233,0.4535303045946632,0.4852650231843921,0.633576779451538,0.4658120677485982
F,0.4402624611017719,0.3013690507878093,0.5517832014765661,0.42776311266638756,0.6073562873580074,0.7097857873763943,0.4940945371408935,0.38805699478202776,0.5731263723031945,0.3936151497802993,0.27817221622176597,0.7166520422471402,0.7570756864674989,0.70202897226399,0.6044379941511735,0.7518081363297947,0.4739818873398018,0.6645492461022978,0.6928888714582707,0.4089929984170023,0.5680548169613653,0.3316792236204341,0.44718033834952214,0.6085695474946816,0.6841168422413315,0.5471723274727437,0.32661994969718766,0.7152295137675928,0.5231750727772504,0.4491921842547411,0.6620435313986,0.4296420757686752,0.29576042130022867,0.4423484360373068,0.5758714195630009,0.6739345590279217,0.4628932827840101,0.5959477591348702,0.645321793986724,0.6592195108742495,0.49574600355192344,0.38564796846277616,0.2414093490523448,0.4566849022931523,0.37942568727334613,0.45406702029075985,0.4861727457870071,0.5091660386134224,0.44196958004677817,0.47672703359650864,0.42164823674578483,0.49831165598717864,0.7296651723211307,0.5872969578802023,0.5691839106344515,0.32252874401622816,0.4684548873582426,0.6749340837712181,0.713318283313674,0.46091021259571663,0.7812968559103933,0.6456167621387539,0.7167003492553544
